home_team,home_goals_sum,away_team,away_goals_sum
Blackburn,2.5401097545987783,Wigan,3.1034503684754786
Liverpool,4.704007674356172,Chelsea,2.4714229768777667
Chelsea,5.035445116579849,Blackburn,1.4031101516711497
Everton,7.600426799487318,Newcastle,3.2854798445299025
Man City,6.5584343740706155,QPR,2.999688541561543
Norwich,3.3161834216833346,Aston Villa,0.4349792390196854
Stoke,3.799372131238039,Bolton,4.3952916204069785
Sunderland,1.9111371543142395,Man United,2.644899356790602
Swansea,4.827433086747931,Liverpool,3.3669529001914675
Tottenham,4.87071766074464,Fulham,1.366376775428635
West Brom,3.5131534798052195,Arsenal,5.41304243482168
Wigan,6.426920046073564,Wolves,4.987803943075075
